required_age,dlc_count,windows,mac,linux,price_cleaned,languagesupp_count,is_major_developer,cat_Achievements,cat_Multiplayer,cat_Coop,cat_ControllerSupport,cat_Workshop,cat_InAppPurchases,cat_SteamCloud,cat_SinglePlayer,genre_Indie,genre_Racing,genre_Sports,genre_Simulation,genre_Casual,genre_RPG,genre_Action,genre_FreeToPlay,genre_MassivelyMultiplayer,genre_Adventure,genre_Strategy,AGE_GROUP,is_positive
0,4,1,1,1,19.99,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,9.99,13,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
17,13,1,0,0,0,15,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,0,1,0,1,39.99,30,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,11,1,0,0,0,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
17,2,1,0,0,29.99,11,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,1
0,11,1,0,0,0,6,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0,2,1,1,0,14.99,11,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1
0,9,1,0,0,0,17,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1
0,0,1,0,1,0,15,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
0,27,1,0,0,0,13,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
0,7,1,0,0,19.99,13,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
17,13,1,1,1,0,14,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,1,1,1,0,7.49,12,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
17,0,1,0,0,24.99,18,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1
17,4,1,0,0,0,9,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0
0,2,1,0,0,0,13,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
0,3,1,0,0,39.99,9,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
17,5,1,1,1,19.99,11,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,1,0,19.99,5,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1
0,1,1,1,1,59.99,9,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,3,1,1,1,1.99,14,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,3,1,1,1,19.99,14,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
17,6,1,0,0,38.99,14,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2,1
0,2,1,1,1,0,9,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
17,0,1,0,0,39.99,17,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
17,7,1,1,0,29.99,12,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1
0,0,1,0,0,29.99,11,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
0,2,1,1,0,0,13,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,4,1,0,0,14.99,9,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1
17,12,1,0,0,49.99,10,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,1,1,1,0,69.99,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
17,47,1,0,0,69.99,23,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1
0,15,1,0,0,29.99,16,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1
18,2,1,0,1,29.99,5,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,3,1
